,Set,Price_Euro,Pieces,Minifigs
0,Corner Garage,199.99,2569.0,6.0
1,Ford Mustang,169.99,1471.0,
2,NASA Apollo 11 Lunar Lander,99.99,1087.0,2.0
3,Gingerbread House,99.99,1477.0,2.0
4,Harley-Davidson Fat Boy,99.99,1023.0,
5,Woody & RC,9.99,69.0,1.0
6,Duke Caboom's Stunt Show,19.99,120.0,2.0
7,Buzz and Bo Peep's Playground Adventure,24.99,139.0,3.0
8,RV Vacation,34.99,178.0,3.0
9,Buzz & Woody's Carnival Mania!,49.99,230.0,5.0
10,Carnival Thrill Coaster,19.99,98.0,2.0
11,My First Tow Truck,9.99,11.0,
12,My First Balancing Animals,14.99,15.0,
13,My First Fun Puzzle,19.99,15.0,
14,My First Car Creations,19.99,34.0,
15,Creative Fun,39.99,120.0,1.0
16,Mickey's Vacation House,49.99,57.0,3.0
17,Spider-Man vs. Electro,19.99,29.0,2.0
18,Toy Story Train,19.99,21.0,2.0
19,Emmet and Lucy's Visitors from the DUPLO Planet,29.99,53.0,2.0
20,My First Minnie Build,9.99,10.0,
21,My First Mickey Build,9.99,9.0,
22,Frozen Ice Castle,49.99,59.0,3.0
23,Police Bike,9.99,8.0,1.0
24,Fire Truck,19.99,21.0,2.0
25,Police Station,29.99,38.0,3.0
26,Fire Station,49.99,76.0,2.0
27,Baby Animals,9.99,9.0,
28,Tropical Island,59.99,73.0,3.0
29,World Animals,99.99,121.0,6.0
30,Plane,9.99,12.0,1.0
31,Submarine Adventure,19.99,24.0,2.0
32,Bricks and Ideas,9.99,123.0,
33,Basic Brick Set,19.99,300.0,
34,Bricks and Eyes,29.99,451.0,
35,Windows of Creativity,29.99,450.0,
36,Creative Fun,39.99,900.0,
37,Star Wars: Build Your Own Adventure Galactic Missions parts,,66.0,1.0
38,The Book of Bedtime Builds parts,,68.0,
39,Harry Potter: Build Your Own Adventure parts,,101.0,1.0
40,Christmas Ideas parts,,41.0,
41,Wooden Minifigure parts,,29.0,
42,San Francisco,49.99,565.0,
43,Paris,49.99,649.0,
44,Trafalgar Square,79.99,1197.0,
45,Empire State Building,129.99,1767.0,
46,Burj Khalifa,39.99,333.0,
47,Minecraft Steve BigFig with Parrot,14.99,159.0,
48,Minecraft Alex BigFig with Chicken,14.99,160.0,
49,Minecraft Skeleton BigFig with Magma Cube,14.99,142.0,
50,The End Battle,19.99,222.0,2.0
51,The Pirate Ship Adventure,39.99,386.0,3.0
52,The Wool Farm,19.99,260.0,1.0
53,The Blaze Bridge,29.99,372.0,4.0
54,The Creeper Mine,79.99,834.0,4.0
55,The Flintstones,59.99,748.0,4.0
56,Steamboat Willie,89.99,751.0,2.0
57,Tree House,249.99,3036.0,4.0
58,Central Perk,59.99,1070.0,7.0
59,Dinosaur Fossils,59.99,910.0,2.0
60,My First Duck,,6.0,
61,Town Rescue - {Random Bag},,,
62,Town Rescue - Bird,,,
